month #, starting_balance, monthly payment, principal payment, interest payment, ending principal balance, 
1, $250000.0, $1826.45, $1201.45, $625.0, $248798.55, 
2, $248798.55, $1826.45, $1204.46, $622.0, $247594.09, 
3, $247594.09, $1826.45, $1207.47, $618.99, $246386.62, 
4, $246386.62, $1826.45, $1210.49, $615.97, $245176.13, 
5, $245176.13, $1826.45, $1213.51, $612.94, $243962.62, 
6, $243962.62, $1826.45, $1216.55, $609.91, $242746.07, 
7, $242746.07, $1826.45, $1219.59, $606.87, $241526.48, 
8, $241526.48, $1826.45, $1222.64, $603.82, $240303.84, 
9, $240303.84, $1826.45, $1225.69, $600.76, $239078.15, 
10, $239078.15, $1826.45, $1228.76, $597.7, $237849.39, 
11, $237849.39, $1826.45, $1231.83, $594.62, $236617.56, 
12, $236617.56, $1826.45, $1234.91, $591.54, $235382.65, 
13, $235382.65, $1826.45, $1238.0, $588.46, $234144.65, 
14, $234144.65, $1826.45, $1241.09, $585.36, $232903.56, 
15, $232903.56, $1826.45, $1244.2, $582.26, $231659.36, 
16, $231659.36, $1826.45, $1247.31, $579.15, $230412.06, 
17, $230412.06, $1826.45, $1250.42, $576.03, $229161.63, 
18, $229161.63, $1826.45, $1253.55, $572.9, $227908.08, 
19, $227908.08, $1826.45, $1256.68, $569.77, $226651.4, 
20, $226651.4, $1826.45, $1259.83, $566.63, $225391.58, 
21, $225391.58, $1826.45, $1262.98, $563.48, $224128.6, 
22, $224128.6, $1826.45, $1266.13, $560.32, $222862.47, 
23, $222862.47, $1826.45, $1269.3, $557.16, $221593.17, 
24, $221593.17, $1826.45, $1272.47, $553.98, $220320.7, 
25, $220320.7, $1826.45, $1275.65, $550.8, $219045.05, 
26, $219045.05, $1826.45, $1278.84, $547.61, $217766.2, 
27, $217766.2, $1826.45, $1282.04, $544.42, $216484.17, 
28, $216484.17, $1826.45, $1285.24, $541.21, $215198.92, 
29, $215198.92, $1826.45, $1288.46, $538.0, $213910.47, 
30, $213910.47, $1826.45, $1291.68, $534.78, $212618.79, 
31, $212618.79, $1826.45, $1294.91, $531.55, $211323.88, 
32, $211323.88, $1826.45, $1298.14, $528.31, $210025.74, 
33, $210025.74, $1826.45, $1301.39, $525.06, $208724.35, 
34, $208724.35, $1826.45, $1304.64, $521.81, $207419.7, 
35, $207419.7, $1826.45, $1307.9, $518.55, $206111.8, 
36, $206111.8, $1826.45, $1311.17, $515.28, $204800.62, 
37, $204800.62, $1826.45, $1314.45, $512.0, $203486.17, 
38, $203486.17, $1826.45, $1317.74, $508.72, $202168.43, 
39, $202168.43, $1826.45, $1321.03, $505.42, $200847.4, 
40, $200847.4, $1826.45, $1324.34, $502.12, $199523.06, 
41, $199523.06, $1826.45, $1327.65, $498.81, $198195.42, 
42, $198195.42, $1826.45, $1330.97, $495.49, $196864.45, 
43, $196864.45, $1826.45, $1334.29, $492.16, $195530.16, 
44, $195530.16, $1826.45, $1337.63, $488.83, $194192.53, 
45, $194192.53, $1826.45, $1340.97, $485.48, $192851.56, 
46, $192851.56, $1826.45, $1344.33, $482.13, $191507.23, 
47, $191507.23, $1826.45, $1347.69, $478.77, $190159.55, 
48, $190159.55, $1826.45, $1351.06, $475.4, $188808.49, 
49, $188808.49, $1826.45, $1354.43, $472.02, $187454.06, 
50, $187454.06, $1826.45, $1357.82, $468.64, $186096.24, 
51, $186096.24, $1826.45, $1361.21, $465.24, $184735.03, 
52, $184735.03, $1826.45, $1364.62, $461.84, $183370.41, 
53, $183370.41, $1826.45, $1368.03, $458.43, $182002.38, 
54, $182002.38, $1826.45, $1371.45, $455.01, $180630.93, 
55, $180630.93, $1826.45, $1374.88, $451.58, $179256.06, 
56, $179256.06, $1826.45, $1378.31, $448.14, $177877.74, 
57, $177877.74, $1826.45, $1381.76, $444.69, $176495.98, 
58, $176495.98, $1826.45, $1385.21, $441.24, $175110.77, 
59, $175110.77, $1826.45, $1388.68, $437.78, $173722.09, 
60, $173722.09, $1826.45, $1392.15, $434.31, $172329.94, 
61, $172329.94, $1826.45, $1395.63, $430.82, $170934.31, 
62, $170934.31, $1826.45, $1399.12, $427.34, $169535.19, 
63, $169535.19, $1826.45, $1402.62, $423.84, $168132.58, 
64, $168132.58, $1826.45, $1406.12, $420.33, $166726.46, 
65, $166726.46, $1826.45, $1409.64, $416.82, $165316.82, 
66, $165316.82, $1826.45, $1413.16, $413.29, $163903.66, 
67, $163903.66, $1826.45, $1416.69, $409.76, $162486.96, 
68, $162486.96, $1826.45, $1420.24, $406.22, $161066.72, 
69, $161066.72, $1826.45, $1423.79, $402.67, $159642.94, 
70, $159642.94, $1826.45, $1427.35, $399.11, $158215.59, 
71, $158215.59, $1826.45, $1430.92, $395.54, $156784.67, 
72, $156784.67, $1826.45, $1434.49, $391.96, $155350.18, 
73, $155350.18, $1826.45, $1438.08, $388.38, $153912.1, 
74, $153912.1, $1826.45, $1441.67, $384.78, $152470.43, 
75, $152470.43, $1826.45, $1445.28, $381.18, $151025.15, 
76, $151025.15, $1826.45, $1448.89, $377.56, $149576.26, 
77, $149576.26, $1826.45, $1452.51, $373.94, $148123.75, 
78, $148123.75, $1826.45, $1456.14, $370.31, $146667.6, 
79, $146667.6, $1826.45, $1459.79, $366.67, $145207.82, 
80, $145207.82, $1826.45, $1463.43, $363.02, $143744.38, 
81, $143744.38, $1826.45, $1467.09, $359.36, $142277.29, 
82, $142277.29, $1826.45, $1470.76, $355.69, $140806.53, 
83, $140806.53, $1826.45, $1474.44, $352.02, $139332.09, 
84, $139332.09, $1826.45, $1478.12, $348.33, $137853.97, 
85, $137853.97, $1826.45, $1481.82, $344.63, $136372.15, 
86, $136372.15, $1826.45, $1485.52, $340.93, $134886.62, 
87, $134886.62, $1826.45, $1489.24, $337.22, $133397.39, 
88, $133397.39, $1826.45, $1492.96, $333.49, $131904.43, 
89, $131904.43, $1826.45, $1496.69, $329.76, $130407.73, 
90, $130407.73, $1826.45, $1500.43, $326.02, $128907.3, 
91, $128907.3, $1826.45, $1504.19, $322.27, $127403.11, 
92, $127403.11, $1826.45, $1507.95, $318.51, $125895.17, 
93, $125895.17, $1826.45, $1511.72, $314.74, $124383.45, 
94, $124383.45, $1826.45, $1515.5, $310.96, $122867.95, 
95, $122867.95, $1826.45, $1519.28, $307.17, $121348.67, 
96, $121348.67, $1826.45, $1523.08, $303.37, $119825.59, 
97, $119825.59, $1826.45, $1526.89, $299.56, $118298.7, 
98, $118298.7, $1826.45, $1530.71, $295.75, $116767.99, 
99, $116767.99, $1826.45, $1534.53, $291.92, $115233.46, 
100, $115233.46, $1826.45, $1538.37, $288.08, $113695.09, 
101, $113695.09, $1826.45, $1542.22, $284.24, $112152.87, 
102, $112152.87, $1826.45, $1546.07, $280.38, $110606.8, 
103, $110606.8, $1826.45, $1549.94, $276.52, $109056.86, 
104, $109056.86, $1826.45, $1553.81, $272.64, $107503.05, 
105, $107503.05, $1826.45, $1557.7, $268.76, $105945.35, 
106, $105945.35, $1826.45, $1561.59, $264.86, $104383.76, 
107, $104383.76, $1826.45, $1565.49, $260.96, $102818.27, 
108, $102818.27, $1826.45, $1569.41, $257.05, $101248.86, 
109, $101248.86, $1826.45, $1573.33, $253.12, $99675.53, 
110, $99675.53, $1826.45, $1577.27, $249.19, $98098.26, 
111, $98098.26, $1826.45, $1581.21, $245.25, $96517.05, 
112, $96517.05, $1826.45, $1585.16, $241.29, $94931.89, 
113, $94931.89, $1826.45, $1589.12, $237.33, $93342.77, 
114, $93342.77, $1826.45, $1593.1, $233.36, $91749.67, 
115, $91749.67, $1826.45, $1597.08, $229.37, $90152.59, 
116, $90152.59, $1826.45, $1601.07, $225.38, $88551.52, 
117, $88551.52, $1826.45, $1605.08, $221.38, $86946.44, 
118, $86946.44, $1826.45, $1609.09, $217.37, $85337.35, 
119, $85337.35, $1826.45, $1613.11, $213.34, $83724.24, 
120, $83724.24, $1826.45, $1617.14, $209.31, $82107.1, 
121, $82107.1, $1826.45, $1621.19, $205.27, $80485.91, 
122, $80485.91, $1826.45, $1625.24, $201.21, $78860.67, 
123, $78860.67, $1826.45, $1629.3, $197.15, $77231.37, 
124, $77231.37, $1826.45, $1633.38, $193.08, $75598.0, 
125, $75598.0, $1826.45, $1637.46, $188.99, $73960.54, 
126, $73960.54, $1826.45, $1641.55, $184.9, $72318.98, 
127, $72318.98, $1826.45, $1645.66, $180.8, $70673.33, 
128, $70673.33, $1826.45, $1649.77, $176.68, $69023.56, 
129, $69023.56, $1826.45, $1653.9, $172.56, $67369.66, 
130, $67369.66, $1826.45, $1658.03, $168.42, $65711.63, 
131, $65711.63, $1826.45, $1662.18, $164.28, $64049.46, 
132, $64049.46, $1826.45, $1666.33, $160.12, $62383.13, 
133, $62383.13, $1826.45, $1670.5, $155.96, $60712.63, 
134, $60712.63, $1826.45, $1674.67, $151.78, $59037.96, 
135, $59037.96, $1826.45, $1678.86, $147.59, $57359.1, 
136, $57359.1, $1826.45, $1683.06, $143.4, $55676.04, 
137, $55676.04, $1826.45, $1687.26, $139.19, $53988.78, 
138, $53988.78, $1826.45, $1691.48, $134.97, $52297.3, 
139, $52297.3, $1826.45, $1695.71, $130.74, $50601.58, 
140, $50601.58, $1826.45, $1699.95, $126.5, $48901.63, 
141, $48901.63, $1826.45, $1704.2, $122.25, $47197.43, 
142, $47197.43, $1826.45, $1708.46, $117.99, $45488.97, 
143, $45488.97, $1826.45, $1712.73, $113.72, $43776.24, 
144, $43776.24, $1826.45, $1717.01, $109.44, $42059.23, 
145, $42059.23, $1826.45, $1721.31, $105.15, $40337.92, 
146, $40337.92, $1826.45, $1725.61, $100.84, $38612.31, 
147, $38612.31, $1826.45, $1729.92, $96.53, $36882.39, 
148, $36882.39, $1826.45, $1734.25, $92.21, $35148.14, 
149, $35148.14, $1826.45, $1738.58, $87.87, $33409.56, 
150, $33409.56, $1826.45, $1742.93, $83.52, $31666.63, 
151, $31666.63, $1826.45, $1747.29, $79.17, $29919.34, 
152, $29919.34, $1826.45, $1751.66, $74.8, $28167.68, 
